id	popularity	frequency_short	units_short	seasonal_adjustment_short	name	title
142734	3	A		NSA	AB75RC1A027NBEA	Final sales of motor vehicles to domestic purchasers
109876	1	A		NSA	FBCDFRA027N	Financial business; total currency and deposits excluding Federal Reserve loans to domestic banks; liability, Flow (DISCONTINUED)
109875	1	Q		NSA	FBCDELQ027S	Financial business; total currency and deposits excluding Federal Reserve loans to domestic banks; liability, Level (DISCONTINUED)
86453	1	M		NSA	DTBSPCKFNM	Financial Commercial Paper Outstanding
86521	1	M		NSA	H0DTBSPCKIFNM	Financial Commercial Paper Outstanding (DISCONTINUED)
79680	1	A		NSA	WTCFLTAEEF415171	Fixed Local Telephony for Wired Telecommunications Carriers, All Establishments, Employer Firms
79681	1	A		NSA	WTCFLTAEEF425171	Fixed Long-Distance Telephony for Wired Telecommunications Carriers, All Establishments, Employer Firms
79682	1	A		NSA	WTCFSFADT45171	Fixed Services - Fixed All Distance Telephony (No Distinction Between Local Or Long Distance) for Wired Telecommunications Carriers, All Establishments, Employer Firms
138209	1	A		NSA	MPU5500012	Food and Beverage and Tobacco Products: Total Factor Productivity
86449	1	M		NSA	DTBSPCKFFNM	Foreign Financial Commercial Paper Outstanding
86518	1	M		NSA	H0DTBSPCKIFFNM	Foreign Financial Commercial Paper Outstanding (DISCONTINUED)
112276	1	M		NSA	FORLTTOTALNET39001	Foreign Net Transactions of All U.S. Long-Term Securities: Caribbean Banking Centers
112239	0	M		NSA	FORLTTOTALNET16721	Foreign Net Transactions of All U.S. Long-Term Securities: European Union
112321	1	M		NSA	FORLTTOTALNET59994	Foreign Net Transactions of All U.S. Long-Term Securities: Total Africa
112307	1	M		NSA	FORLTTOTALNET49999	Foreign Net Transactions of All U.S. Long-Term Securities: Total Asia
112263	0	M		NSA	FORLTTOTALNET34401	Foreign Net Transactions of All U.S. Long-Term Securities: Total Caribbean
112241	0	M		NSA	FORLTTOTALNET19992	Foreign Net Transactions of All U.S. Long-Term Securities: Total Europe
112328	1	M		NSA	FORLTTOTALNET72907	Foreign Net Transactions of All U.S. Long-Term Securities: Total International Orgs.
112330	0	M		NSA	FORLTTOTALNET79995	Foreign Net Transactions of All U.S. Long-Term Securities: Total IROs
112279	1	M		NSA	FORLTTOTALNET39942	Foreign Net Transactions of All U.S. Long-Term Securities: Total Latin America
112280	0	M		NSA	FORLTTOTALNET39993	Foreign Net Transactions of All U.S. Long-Term Securities: Total Latin America and Caribbean
112329	2	M		NSA	FORLTTOTALNET76929	Foreign Net Transactions of All U.S. Long-Term Securities: Total Regional Orgs.
111885	0	M		NSA	FORLTEQTYNET59994	Foreign Net Transactions of U.S. Equity Securities: Total Africa
111874	1	M		NSA	FORLTEQTYNET49999	Foreign Net Transactions of U.S. Equity Securities: Total Asia
